Year	Age	mx	mx2	sexo	qx	l	d	L	T	e
2016	102	0.274974765521899	-1.29107594726448	fem	0.24040870912708	6402.96977146624	1539.32969733791	5633.30492279728	19891.9089376024	3.10666919376183
2016	103	0.293018051658661	-1.22752106210635	fem	0.253991326118267	4863.64007412833	1235.3223921898	4245.97887803343	14258.6040148051	2.93167335524115
2016	104	0.309740605590031	-1.17202008793998	fem	0.266362767057966	3628.31768193853	966.448737526492	3145.09331317528	10012.6251367717	2.75957785797361
2016	105	0.325165021826564	-1.12342246605227	fem	0.277591869304104	2661.86894441204	738.913176121878	2292.4123563511	6867.53182359642	2.57996616926358
2016	106	0.339399419101077	-1.0805776377301	fem	0.287802073184559	1922.95576829016	553.430656756114	1646.2404399121	4575.11946724532	2.37921201448819
2016	107	0.352630312476557	-1.04233504426036	fem	0.297163024583981	1369.52511153404	406.97222438717	1166.03899934046	2928.87902733322	2.13860921765246
2016	108	0.365114554413998	-1.00754412692995	fem	0.305882867857864	962.552887146875	294.428437585353	815.338668354198	1762.84002799276	1.83142147463506
2016	109	0.377171862381065	-0.975054327025761	fem	0.31420179914439	668.124449561522	209.925904104585	563.161497509229	947.501359638561	1.41815100504163
2016	110	0.389179311781487	-0.94371508583468	fem	0.322387244830513	458.198545456936	147.71736665521	384.339862129331	384.339862129331	0.838806377584744
2017	0	0.0115312520199082	-4.46269436257316	fem	0.0114650219496515	100000	1146.50219496515	99426.7489025174	8294049.68933096	82.9404968933096
2017	1	0.00516913650081604	-5.26504962553013	fem	0.00515579950488043	98853.4978050349	509.668815038898	98598.6633975154	8194622.94042844	82.896641215371
2017	2	0.00238638247335457	-6.03797666917783	fem	0.00238353732635299	98343.828989996	234.406187214131	98226.6258963889	8096024.27703092	82.323663418215
2017	3	0.00116848496124285	-6.75204727420695	fem	0.00116780254851279	98109.4228027818	114.572433982207	98052.1365857907	7997797.65113454	81.5191591455144
2017	4	0.000624953556050502	-7.37783322130822	fem	0.000624758313251594	97994.8503687996	61.2230974237536	97964.2388200877	7899745.51454875	80.6138841461401
2017	5	0.000376005686442162	-7.88590629117235	fem	0.000375935005163197	97933.6272713759	36.8166786739153	97915.2189320389	7801781.27572866	79.6639672511034
2017	6	0.000259712366075851	-8.25593582365659	fem	0.00025967864373877	97896.810592702	25.4217110010641	97884.0997372014	7703866.05679662	78.6937389497644
2017	7	0.00020265989150799	-8.50398139528427	fem	0.000202639357379297	97871.3888817009	19.8325953488072	97861.4725840265	7605981.95705942	77.7140494680516
2017	8	0.000174218527468861	-8.65520014174528	fem	0.000174203352302449	97851.5562863521	17.0460691330943	97843.0332517855	7508120.48447539	76.7296992446771
2017	9	0.000160896509350411	-8.73474919872948	fem	0.000160883566201253	97834.510217219	15.7399649012991	97826.6402347683	7410277.4512236	75.7429810275616
2017	10	0.00015566789442023	-8.76778570192673	fem	0.000155655778802277	97818.7702523177	15.2260568651055	97811.1572238852	7312450.81098884	74.7550883345477
2017	11	0.000154586855241174	-8.77475444973896	fem	0.000154574907308969	97803.5441954526	15.1179737785007	97795.9852085633	7214639.65376495	73.7666483675384
2017	12	0.000157316494789683	-8.75725089141622	fem	0.000157304121198742	97788.4262216741	15.3825224502085	97780.734960449	7116843.66855639	72.7779753037787
2017	13	0.000164572700193956	-8.71215813892061	fem	0.000164559158849942	97773.0436992239	16.0894498293429	97764.9989743092	7019062.93359594	71.7893467159359
2017	14	0.000177532067354453	-8.63635930421422	fem	0.000177516309469494	97756.9542493945	17.3534537433307	97748.2775225229	6921297.93462163	70.8010799616795
