Year	Age	mx	mx2	sexo	qx	l	d	L	T	e
2016	43	0.00436941544792292	-5.43312604359931	masc	0.00435988344039862	89416.3650778408	389.844929403515	89221.4426131391	3056885.55955055	34.1870926746955
2016	44	0.00477417536797505	-5.3445340177697	masc	0.00476279710722538	89026.5201484373	424.015252629319	88814.5125221227	2967664.11693741	33.334607620171
2016	45	0.00519417475728156	-5.26021752031577	masc	0.00518070835727724	88602.504895808	459.02373758941	88372.9930270133	2878849.60441529	32.4917405868002
2016	46	0.00559653307697945	-5.18560796635501	masc	0.00558090165991421	88143.4811582186	491.920100306519	87897.5211080654	2790476.61138827	31.6583435861732
2016	47	0.00597642584625039	-5.11993257427774	masc	0.00595860253753999	87651.5610579121	522.280814139016	87390.4206508426	2702579.09028021	30.833211156326
2016	48	0.00634005704276161	-5.06086751329247	masc	0.00632000128836863	87129.2802437731	550.657163395277	86853.9516620754	2615188.66962936	30.0150381400203
2016	49	0.00669704461185583	-5.00608895260772	masc	0.00667466938574868	86578.6230803778	577.883684934872	86289.6812379104	2528334.71796729	29.202759619081
2016	50	0.00706026239715366	-4.95327306143201	masc	0.00703539729705227	86000.7393954429	605.049369487196	85698.2147106993	2442045.03672938	28.395628385246
2016	51	0.00744422402994597	-4.90031684528342	masc	0.00741658442191251	85395.6900259557	633.344344344973	85079.0178537832	2356346.82201868	27.5932757414628
2016	52	0.00785974862253422	-4.84600065491833	masc	0.00782894156308078	84762.3456816108	663.599451090983	84430.5459560653	2271267.8041649	26.7957167289396
2016	53	0.00831806455008266	-4.78932567740268	masc	0.0082835651734362	84098.7462305198	696.637445404783	83750.4275078174	2186837.25820883	26.0032088018836
2016	54	0.00883271267969704	-4.72929309980241	masc	0.00879381886991004	83402.108785115	733.423038024834	83035.3972661026	2103086.83070101	25.2162308763631
2016	55	0.00942015148621984	-4.66490410918348	masc	0.00937592085458405	82668.6857470902	775.095054717198	82281.1382197316	2020051.43343491	24.4355092279426
2016	56	0.0100974700295489	-4.59547037863719	masc	0.0100466617345971	81893.590692373	822.757203917822	81482.212090414	1937770.29521518	23.6620507030186
2016	57	0.0108722074046981	-4.52154552535627	masc	0.0108133185682068	81070.8334884551	876.644749100712	80632.5111139048	1856288.08312477	22.8971135888113
2016	58	0.0117489235828474	-4.44399365255885	masc	0.0116801744861998	80194.1887393544	936.682117254903	79725.847680727	1775655.57201086	22.1419481875683
2016	59	0.0127314640717354	-4.36367886346304	masc	0.0126507618319727	79257.5066220995	1002.66783967218	78756.1727022634	1695929.72433013	21.3977173470311
2016	60	0.0138223938223938	-4.28146526128693	masc	0.013727303167926	78254.8387824273	1074.22789632356	77717.7248342656	1617173.55162787	20.665476752487
2016	61	0.0150187251665968	-4.19845751197421	masc	0.0149065066094182	77180.6108861038	1150.49328629264	76605.3642429575	1539455.8267936	19.9461472139084
2016	62	0.0162978426551945	-4.11672253237083	masc	0.016165751392014	76030.1175998111	1229.08397942414	75415.5756100991	1462850.46255065	19.2404077322416
2016	63	0.0176226935360791	-4.03856780204832	masc	0.0174683220164813	74801.033620387	1306.64854244656	74147.7093491637	1387434.88694055	18.5483384358261
2016	64	0.018943379020219	-3.96630080057821	masc	0.0187650808475345	73494.3850779404	1379.12807782738	72804.8210390267	1313287.17759138	17.8692178483928
2016	65	0.020196842321099	-3.90222900753201	masc	0.0199942522866529	72115.2570001131	1441.89064217707	71394.3116790245	1240482.35655236	17.201385783738
2016	66	0.0213402566408077	-3.84716000690119	masc	0.0211141645081356	70673.366357936	1492.2090836252	69927.2618161234	1169088.04487333	16.5421304392423
2016	67	0.0224626398635391	-3.79590180035699	masc	0.0222122332046462	69181.1572743108	1536.66799874429	68412.8232749387	1099160.78305721	15.8881525889906
2016	68	0.0237122735403143	-3.74176249399057	masc	0.0234333465956581	67644.4892755665	1585.13676248063	66851.9208943262	1030747.95978227	15.2377225524353
2016	69	0.0252722027224166	-3.6780501938931	masc	0.0249555338557362	66059.3525130859	1648.54640812833	65235.0793090217	963896.038887944	14.5913637088254
2016	70	0.0273764258555133	-3.59807300615576	masc	0.0270050878614756	64410.8061049575	1739.41947809285	63541.0963659111	898660.959578922	13.9520216237405
2016	71	0.0302763049657869	-3.49738988672999	masc	0.0298225683307911	62671.3866268647	1869.0217100651	61736.8757718322	835119.863213011	13.3253771483497
2016	72	0.0340282849128754	-3.38056319100842	masc	0.0334558343666473	60802.3649167996	2034.1938497569	59785.2679919212	773382.987441179	12.719620174305
2016	73	0.0386037396822653	-3.25440612424396	masc	0.0378681116939458	58768.1710670427	2225.43966601569	57655.4512340349	713597.719449258	12.142588521858
2016	74	0.0439047883117042	-3.12573189168951	masc	0.0429549249873824	56542.731401027	2428.78878591283	55328.3370080706	655942.268215223	11.600823871825
2016	75	0.049719717280039	-3.00135369859797	masc	0.0485039249618566	54113.9426151142	2624.73861199371	52801.5733091173	600613.931207153	11.0990606520583
2016	76	0.0557406721787034	-2.88704519782086	masc	0.0542156277086062	51489.2040031205	2791.51951524566	50093.4442454977	547812.357898035	10.6393635035577
2016	77	0.0617647890969252	-2.78442183260414	masc	0.0598960165051661	48697.6844878748	2916.79731384912	47239.2858309503	497718.913652538	10.2205868489797
2016	78	0.0676059356853005	-2.69405949379237	masc	0.0653712951608806	45780.8871740257	2992.75588818021	44284.5092299356	450479.627821587	9.83990603129186
2016	79	0.0730556300749139	-2.61653407223011	masc	0.070450882299628	42788.1312858455	3014.46160104013	41280.9004853254	406195.118591652	9.49317267160071
2016	80	0.0778928231966727	-2.55242145876193	masc	0.0749364334133708	39773.6696848054	2980.49694994082	38283.421209835	364914.218106326	9.17476865972298
2016	81	0.0819452305475834	-2.50170417502734	masc	0.0786775823611551	36793.1727348646	2894.79787817551	35345.7737957768	326630.796896491	8.877483854144
2016	82	0.085264996535823	-2.46199126584562	masc	0.081731085924449	33898.374856689	2770.55098811123	32513.0993626334	291285.023100715	8.59289049496237
2016	83	0.0880105657094535	-2.43029840683099	masc	0.0842487988889117	31127.8238685778	2622.48177295328	29816.5829821012	258771.923738081	8.31320315967543
2016	84	0.0903882250808933	-2.40364127359768	masc	0.0864235568727504	28505.3420956245	2463.53305377841	27273.5755687353	228955.34075598	8.03201519167608
2016	85	0.0926398817356243	-2.3790355417599	masc	0.0884783031907899	26041.8090418461	2304.13507604111	24889.7415038256	201681.765187245	7.74453744220173
2016	86	0.0950362494568734	-2.3534968869319	masc	0.0906600292092772	23737.673965805	2152.05821510018	22661.6448582549	176792.023683419	7.44773999078825
2016	87	0.0978772648481527	-2.32404098472789	masc	0.0932398117260832	21585.6157507048	2012.63874858729	20579.2963764112	154130.378825164	7.14042076006711
2016	88	0.101501316436964	-2.28768351076209	masc	0.0965200100330175	19572.9770021175	1889.1839366204	18628.3850338073	133551.082448753	6.82323810191493
2016	89	0.106305299504455	-2.24144014064874	masc	0.100849903911003	17683.7930654971	1783.40883143744	16792.0886497784	114922.697414946	6.49875832573339
2016	90	0.112778839567556	-2.18232655000205	masc	0.106651788453281	15900.3842340597	1695.80441565682	15052.4820262313	98130.6087651673	6.17158725982011
2016	91	0.121409821322592	-2.10858350311342	masc	0.11432908162021	14204.5798184029	1623.99656543897	13392.5815356834	83078.1267389361	5.84868597318898
2016	92	0.132211532650301	-2.02335211898288	masc	0.123844360048861	12580.5832529639	1558.03428200474	11801.5661119615	69685.5452032527	5.53913469686195
2016	93	0.145003325072844	-1.93099860528763	masc	0.134980583146613	11022.5489709592	1487.83008786216	10278.6339270281	57883.9790912912	5.25141500788944
2016	94	0.159471641356192	-1.83588916970489	masc	0.147405854532723	9534.71888309699	1405.4733846922	8831.98219075089	47605.3451642631	4.99284202795503
2016	95	0.175101404268846	-1.74239001991183	masc	0.160628099440362	8129.24549840479	1305.78525429288	7476.35287125835	38773.3629735122	4.76961397968861
2016	96	0.191117403151498	-1.65486736358568	masc	0.173964396724934	6823.46024411191	1187.0391449435	6229.94067164017	31297.0101022539	4.58667728433834
2016	97	0.206451985696519	-1.57768740840364	masc	0.186534681510021	5636.42109916842	1051.38801458975	5110.72709187354	25067.0694306137	4.44733794540511
2016	98	0.219760631844362	-1.51521636204289	masc	0.197289081600148	4585.03308457867	904.576966362821	4132.74460139726	19956.3423387401	4.35249691127888
2016	99	0.22950730218672	-1.47182043218065	masc	0.205074836075328	3680.45611821585	754.768935125555	3303.07165065307	15823.5977373429	4.29935780487272
2016	100	0.234133028687484	-1.45186582649412	masc	0.208743450926201	2925.6871830903	610.718038928825	2620.32816362588	12520.5260866898	4.27951633348062
2016	101	0.232578473024395	-1.45852759251675	masc	0.207512441988833	2314.96914416147	480.384900233746	2074.7766940446	9900.19792306393	4.27660038062839
2016	102	0.225323949386932	-1.490216137207	masc	0.201742418185244	1834.58424392772	370.113461734527	1649.52751306046	7825.42122901933	4.2655011645939
2016	103	0.213493112373486	-1.54415070737957	masc	0.192242276335083	1464.4707821932	281.533196795039	1323.70418379568	6175.89371595887	4.21715051679612
2016	104	0.198384036243861	-1.61755054984918	masc	0.179945138131241	1182.93758539816	212.863867205109	1076.5056517956	4852.18953216319	4.10181364769978
2016	105	0.181294062484298	-1.70763491143054	masc	0.165809981364353	970.07371819305	160.847905135638	889.64976562523	3775.68388036759	3.89216181157916
2016	106	0.163388735203077	-1.81162303893835	masc	0.150739013403877	809.225813057411	121.981900681225	748.234862716799	2886.03411474236	3.56641380956245
2016	107	0.145623001379739	-1.92673417918733	masc	0.135516449135365	687.243912376187	93.132854695117	640.677485028628	2137.79925202556	3.11068488716617
2016	108	0.128710757889015	-2.05018757899218	masc	0.120771761397656	594.11105768107	71.7518389019675	558.235138230086	1497.12176699693	2.51993587333736
2016	109	0.113131718896268	-2.17920248516761	masc	0.106966976955453	522.359218779102	55.8751865176128	494.421625520296	938.886628766844	1.79739649462161
2016	110	0.0991622239146992	-2.31099814452833	masc	0.0944042131868682	466.48403226149	44.0380580298836	444.465003246548	444.465003246548	0.952797893406566
2017	0	0.0139405204460967	-4.27295553961952	masc	0.0138438013507491	1e+05	1384.38013507491	99307.8099324626	7307557.15126968	73.0755715126968
2017	1	0.00575373224601274	-5.15790654847517	masc	0.00573721122965498	98615.6198649251	565.778641708435	98332.7305440709	7208249.34133722	73.0943977354748
2017	2	0.00248288528728807	-5.99833397276293	masc	0.00247980547707893	98049.8412232167	243.144533292052	97928.2689565706	7109916.61079315	72.513290405101
2017	3	0.00117121427331671	-6.7497142279149	masc	0.00117052866956879	97806.6966899246	114.485542551376	97749.4539186489	7011988.34183658	71.6923132990229
2017	4	0.000631429835919004	-7.36752372936319	masc	0.000631230526052406	97692.2111473732	61.6663058337792	97661.3779944563	6914238.88791793	70.7757436003519
2017	5	0.00040677966101695	-7.80723889253991	masc	0.000406696937387818	97630.5448415394	39.7060435825581	97610.6918197482	6816577.50992347	69.8201318141491
2017	6	0.000321815766493471	-8.04153132990927	masc	0.000321763989354018	97590.8387979569	31.4012176160355	97575.1381891489	6718966.81810373	68.8483355698383
2017	7	0.000299962394730383	-8.11185344206388	masc	0.000299917410509276	97559.4375803409	29.2597738898372	97544.8076933959	6621391.67991458	67.8703346814788
2017	8	0.000310647159064722	-8.07685282662846	masc	0.00031059891323193	97530.177806451	30.2927672340006	97515.031422834	6523846.87222118	66.8905462796118
