Year	Age	mx	mx2	sexo	qx	l	d	L	T	e
2010	59	0.0109357066604508	-4.51572200321479	masc	0.0108761291920433	82350.967928799	895.65976628343	81903.1380456573	1879039.75075081	22.8174579851379
2010	60	0.011564424602641	-4.45982173787491	masc	0.0114978136640992	81455.3081625155	936.557955204381	80987.0291849134	1797136.61270515	22.062854505683
2010	61	0.0122148054470545	-4.40510650177918	masc	0.0121405075302086	80518.7502073112	977.538493214844	80029.9809607037	1716149.58352024	21.3136639491011
2010	62	0.0129225506309499	-4.34878138285572	masc	0.0128394129757142	79541.2117140963	1021.262465786	79030.5804812033	1636119.60255954	20.569457860919
2010	63	0.0137378269573718	-4.28760215918099	masc	0.0136438936511071	78519.9492483103	1071.31783703427	77984.2903297932	1557089.02207833	19.8304894104582
2010	64	0.0147232911246944	-4.21832460883145	masc	0.014615433462673	77448.631411276	1131.94531916659	76882.6587516927	1479104.73174854	19.0978808120448
2010	65	0.0159594442358243	-4.13770450988356	masc	0.0158327670998614	76316.6860921094	1208.3043167296	75712.5339337446	1402222.07299685	18.3737285356502
2010	66	0.0175285936001084	-4.04392181144152	masc	0.0173758614982976	75108.3817753799	1305.07283909026	74455.8453558347	1326509.5390631	17.6612717210468
2010	67	0.019431629640526	-3.94085314672048	masc	0.0192440524668672	73803.3089362896	1420.27474939837	73093.1715615904	1252053.69370727	16.9647365646993
2010	68	0.0216272903428727	-3.83379931996331	masc	0.0213950974128612	72383.0341868912	1548.642067467	71608.7131531577	1178960.52214568	16.2878019053696
2010	69	0.0240393998225018	-3.7280611354129	masc	0.0237527549680095	70834.3921194242	1682.51195932059	69993.1361397639	1107351.80899252	15.6329683344436
2010	70	0.0265443224643618	-3.62893939731211	masc	0.0261951185531428	69151.8801601036	1811.44169896664	68246.1593106203	1037358.67285276	15.001163676982
2010	71	0.0290100003608834	-3.54011466840886	masc	0.0285932500000338	67340.438461137	1925.48199203118	66377.6974651214	969112.513542136	14.3912415138405
2010	72	0.0314679237545135	-3.45878654547112	masc	0.0309779614559712	65414.9564691058	2026.42200014399	64401.7454690338	902734.816077015	13.8001286678737
2010	73	0.0340292651878463	-3.38053438377192	masc	0.0334567818452368	63388.5344689618	2120.77636921733	62328.1462843532	838333.070607981	13.2253108173446
2010	74	0.0368486042133852	-3.30093753858424	masc	0.0361779570997779	61267.7580997445	2216.54232413213	60159.4869376784	776004.924323628	12.6657959813102
2010	75	0.0401322364880449	-3.2155753651811	masc	0.0393376038688144	59051.2157756124	2322.93333415292	57889.7491085359	715845.43738595	12.1224504522663
2010	76	0.0440851347447156	-3.12163263397247	masc	0.0431275090899607	56728.2824414595	2446.5495166519	55505.0076831335	657955.688277414	11.5983713936058
2010	77	0.0486688649909016	-3.02271577591617	masc	0.0475035175851684	54281.7329248076	2578.57325454701	52992.4462975341	602450.68059428	11.0985896752561
2010	78	0.0537164153958271	-2.92403663710696	masc	0.0522991782393444	51703.1596702605	2704.03276313224	50351.1432886944	549458.234296746	10.6271693606531
2010	79	0.0589652457548729	-2.83080706363963	masc	0.0572604672114276	48999.1269071283	2805.7128996542	47596.2704573012	499107.091008052	10.1860404972939
2010	80	0.0640405436535361	-2.74823890160896	masc	0.0620330298480564	46193.4140074741	2865.51742990927	44760.6552925195	451510.82055075	9.77435485668359
2010	81	0.0685546937362695	-2.68012340359989	masc	0.0662576111530626	43327.8965775648	2870.8029235164	41892.4951158066	406750.165258231	9.38772009229836
2010	82	0.0724709528202909	-2.62456944815807	masc	0.069907237160467	40457.0936540484	2828.24364089679	39042.9718336	364857.670142424	9.01838558306607
