Year	Age	mx	mx2	sexo	qx	l	d	L	T	e
2010	81	0.0416495725835435	-3.17846417252174	fem	0.0407941462864091	59672.002420667	2434.26839595165	58454.8682226912	688573.574474102	11.5393073223837
2010	82	0.0446069210840413	-3.10986625073895	fem	0.0436266618473241	57237.7340247154	2497.09126720333	55989.1883911137	630118.706251411	11.008798950345
2010	83	0.0477817750834313	-3.0411109865935	fem	0.0466581926845575	54740.642757512	2554.09945745652	53463.5930287838	574129.517860297	10.4881764067615
2010	84	0.0512242992391652	-2.97154126500609	fem	0.049934452347825	52186.5433000555	2605.90645961433	50883.5900702483	520665.924831513	9.97701499096913
2010	85	0.0549957169236512	-2.90049997089745	fem	0.0535107981696828	49580.6368404412	2653.09945109319	48254.0871148946	469782.334761265	9.47511699523149
2010	86	0.0591706291641819	-2.8273299891883	fem	0.0574540703886413	46927.537389348	2696.17803633319	45579.4483711814	421528.24764637	8.98253501241794
2010	87	0.0638400715673118	-2.75137420479936	fem	0.0618449748034768	44231.3593530148	2735.48730471073	42863.6157006594	375948.799275189	8.49959858286753
2010	88	0.0691155523979328	-2.67197550265136	fem	0.0667811618269204	41495.8720483041	2771.14254640698	40110.3007751006	333085.183574529	8.02694743194686
2010	89	0.0751344001124908	-2.58847676766501	fem	0.0723811941216513	38724.7295018971	2802.94216338525	37323.2584202045	292974.882799429	7.56557596574242
2010	90	0.0820668693009119	-2.50022088476104	fem	0.0787896440557896	35921.7873385118	2830.26483824912	34506.6549193873	255651.624379224	7.11689599323305
2010	91	0.0900969986158201	-2.4068684266228	fem	0.0861574604893705	33091.5225002627	2851.0815423495	31665.981729088	221144.969459837	6.68282849355395
2010	92	0.0993257211316492	-2.30935071698415	fem	0.094552263474459	30240.4409579132	2859.30214103643	28810.789887395	189478.987730749	6.26574817458695
2010	93	0.109819544224864	-2.20891676734159	fem	0.104004191673216	27381.1388168768	2847.75320974139	25957.2622120061	160668.197843354	5.86784205426561
2010	94	0.121624653282205	-2.10681558919161	fem	0.114519331602558	24533.3856071354	2809.54692167695	23128.6121462969	134710.935631348	5.49092317662704
2010	95	0.134755103774777	-2.00429619403069	fem	0.126070092380948	21723.8386854584	2738.72634994456	20354.4755104862	111582.323485051	5.13639992915904
2010	96	0.14917911314242	-1.90260759335535	fem	0.138585189633226	18985.1123355139	2631.05539322529	17669.5846389012	91227.847974565	4.80523087576957
2010	97	0.164803932643729	-1.80299879866206	fem	0.151940035336522	16354.0569422886	2484.83598970682	15111.6389474352	73558.2633356638	4.49786029211232
2010	98	0.181460220255071	-1.70671882144733	fem	0.16594857700356	13869.2209525818	2301.57748122891	12718.4322119673	58446.6243882286	4.21412454153372
2010	99	0.198887354323019	-1.61501667320764	fem	0.180357782714671	11567.6434713529	2086.31452772704	10524.4862074893	45728.1921762612	3.95311216925959
2010	100	0.216721672167217	-1.52914136543949	fem	0.1948459651007	9481.32894362583	1847.39868845798	8557.62959939684	35203.7059687719	3.71295059775759
2010	101	0.234566579522176	-1.45001581019049	fem	0.20908642650946	7633.93025516785	1596.15119727549	6835.8546565301	26646.0763693751	3.49047940951999
2010	102	0.252269196459902	-1.37725852171272	fem	0.222964465303353	6037.77905789236	1346.21017926275	5364.67396826098	19810.221712845	3.28104449051507
2010	103	0.269776372058357	-1.31016191480938	fem	0.236449773588616	4691.56887862961	1109.32039912737	4136.90867906592	14445.547744584	3.07904415735733
2010	104	0.287073096422387	-1.24801840428366	fem	0.249543128880293	3582.24847950224	893.925494001663	3135.28573250141	10308.6390655181	2.8777007302828
2010	105	0.304184636529149	-1.19012040493875	fem	0.262275357042482	2688.32298550058	705.080870867675	2335.78255006674	7173.35333301664	2.66833761110774
2010	106	0.321177826829898	-1.13576033157787	fem	0.274705737257791	1983.2421146329	544.807987260932	1710.83812100244	4837.5707829499	2.43922350541922
2010	107	0.338161867906114	-1.08423059900419	fem	0.286920146186831	1438.43412737197	412.715730105693	1232.07626231912	3126.73266194747	2.17370583918224
2010	108	0.355289040561858	-1.03482362202093	fem	0.299029195070661	1025.71839726628	306.719746703704	872.358523914426	1894.65639962834	1.84715064551629
2010	109	0.372755781362301	-0.986831815431276	fem	0.311166561732435	718.998650562575	223.728337985816	607.134481569666	1022.29787571391	1.42183559720735
2010	110	0.390804597701149	-0.939547594038422	fem	0.323487664809689	495.270312576758	160.21383686502	415.163394144248	415.163394144248	0.838256167595155
2011	0	0.00892641737032569	-4.71874015492517	fem	0.00888669518692076	1e+05	888.669518692076	99555.665240654	8144486.62081167	81.4448662081167
2011	1	0.0045466472998868	-5.39336517479969	fem	0.0045363269459795	99111.3304813079	449.601399114236	98886.5297817508	8044930.95557101	81.1706483658623
2011	2	0.00237849348682116	-6.0412879804513	fem	0.0023756671124695	98661.7290821937	234.387425039944	98544.5353696737	7946044.42578926	80.5382644284444
2011	3	0.00131251995781856	-6.6358063576571	fem	0.00131165898022334	98427.3416571538	129.103106584117	98362.7901038617	7847499.89041959	79.7288614961718
2011	4	0.000784692927245666	-7.15021809219418	fem	0.000784385136262999	98298.2385505696	77.1036772399014	98259.6867119497	7749137.10031573	78.8329192321099
2011	5	0.000522011484252654	-7.55782096983963	fem	0.00052187525996239	98221.1348733297	51.2591802958199	98195.5052831818	7650877.41360378	77.894410642584
